Notes,County,County Code,Deaths,Population,Crude Rate
,"Anderson County, TX",48001,422,Not Applicable,Not Applicable
,"Andrews County, TX",48003,97,Not Applicable,Not Applicable
,"Angelina County, TX",48005,793,Not Applicable,Not Applicable
,"Aransas County, TX",48007,206,Not Applicable,Not Applicable
,"Archer County, TX",48009,51,Not Applicable,Not Applicable
,"Armstrong County, TX",48011,26,Not Applicable,Not Applicable
,"Atascosa County, TX",48013,325,Not Applicable,Not Applicable
,"Austin County, TX",48015,177,Not Applicable,Not Applicable
,"Bailey County, TX",48017,52,Not Applicable,Not Applicable
,"Bandera County, TX",48019,164,Not Applicable,Not Applicable
,"Bastrop County, TX",48021,418,Not Applicable,Not Applicable
,"Baylor County, TX",48023,46,Not Applicable,Not Applicable
,"Bee County, TX",48025,201,Not Applicable,Not Applicable
,"Bell County, TX",48027,1654,Not Applicable,Not Applicable
,"Bexar County, TX",48029,8784,Not Applicable,Not Applicable
,"Blanco County, TX",48031,61,Not Applicable,Not Applicable
,"Borden County, TX",48033,Suppressed,Not Applicable,Not Applicable
,"Bosque County, TX",48035,175,Not Applicable,Not Applicable
,"Bowie County, TX",48037,703,Not Applicable,Not Applicable
,"Brazoria County, TX",48039,1653,Not Applicable,Not Applicable
,"Brazos County, TX",48041,793,Not Applicable,Not Applicable
,"Brewster County, TX",48043,56,Not Applicable,Not Applicable
,"Briscoe County, TX",48045,16,Not Applicable,Not Applicable
,"Brooks County, TX",48047,75,Not Applicable,Not Applicable
,"Brown County, TX",48049,452,Not Applicable,Not Applicable
,"Burleson County, TX",48051,126,Not Applicable,Not Applicable
,"Burnet County, TX",48053,300,Not Applicable,Not Applicable
,"Caldwell County, TX",48055,289,Not Applicable,Not Applicable
,"Calhoun County, TX",48057,164,Not Applicable,Not Applicable
,"Callahan County, TX",48059,144,Not Applicable,Not Applicable
,"Cameron County, TX",48061,2737,Not Applicable,Not Applicable
,"Camp County, TX",48063,112,Not Applicable,Not Applicable
,"Carson County, TX",48065,53,Not Applicable,Not Applicable
,"Cass County, TX",48067,333,Not Applicable,Not Applicable
,"Castro County, TX",48069,59,Not Applicable,Not Applicable
,"Chambers County, TX",48071,205,Not Applicable,Not Applicable
,"Cherokee County, TX",48073,443,Not Applicable,Not Applicable
,"Childress County, TX",48075,61,Not Applicable,Not Applicable
,"Clay County, TX",48077,97,Not Applicable,Not Applicable
,"Cochran County, TX",48079,20,Not Applicable,Not Applicable
,"Coke County, TX",48081,42,Not Applicable,Not Applicable
,"Coleman County, TX",48083,100,Not Applicable,Not Applicable
,"Collin County, TX",48085,3473,Not Applicable,Not Applicable
,"Collingsworth County, TX",48087,34,Not Applicable,Not Applicable
,"Colorado County, TX",48089,201,Not Applicable,Not Applicable
,"Comal County, TX",48091,805,Not Applicable,Not Applicable
,"Comanche County, TX",48093,153,Not Applicable,Not Applicable
,"Concho County, TX",48095,20,Not Applicable,Not Applicable
,"Cooke County, TX",48097,289,Not Applicable,Not Applicable
,"Coryell County, TX",48099,356,Not Applicable,Not Applicable
,"Cottle County, TX",48101,27,Not Applicable,Not Applicable
,"Crane County, TX",48103,28,Not Applicable,Not Applicable
,"Crockett County, TX",48105,34,Not Applicable,Not Applicable
,"Crosby County, TX",48107,57,Not Applicable,Not Applicable
,"Culberson County, TX",48109,23,Not Applicable,Not Applicable
,"Dallam County, TX",48111,45,Not Applicable,Not Applicable
,"Dallas County, TX",48113,12708,Not Applicable,Not Applicable
,"Dawson County, TX",48115,121,Not Applicable,Not Applicable
,"Deaf Smith County, TX",48117,127,Not Applicable,Not Applicable
,"Delta County, TX",48119,51,Not Applicable,Not Applicable
,"Denton County, TX",48121,2953,Not Applicable,Not Applicable
,"DeWitt County, TX",48123,216,Not Applicable,Not Applicable
,"Dickens County, TX",48125,26,Not Applicable,Not Applicable
,"Dimmit County, TX",48127,71,Not Applicable,Not Applicable
,"Donley County, TX",48129,38,Not Applicable,Not Applicable
,"Duval County, TX",48131,71,Not Applicable,Not Applicable
,"Eastland County, TX",48133,174,Not Applicable,Not Applicable
,"Ector County, TX",48135,1012,Not Applicable,Not Applicable
,"Edwards County, TX",48137,16,Not Applicable,Not Applicable
,"Ellis County, TX",48139,988,Not Applicable,Not Applicable
,"El Paso County, TX",48141,5177,Not Applicable,Not Applicable
,"Erath County, TX",48143,219,Not Applicable,Not Applicable
,"Falls County, TX",48145,121,Not Applicable,Not Applicable
,"Fannin County, TX",48147,325,Not Applicable,Not Applicable
,"Fayette County, TX",48149,269,Not Applicable,Not Applicable
,"Fisher County, TX",48151,32,Not Applicable,Not Applicable
,"Floyd County, TX",48153,81,Not Applicable,Not Applicable
,"Foard County, TX",48155,24,Not Applicable,Not Applicable
,"Fort Bend County, TX",48157,2689,Not Applicable,Not Applicable
,"Franklin County, TX",48159,83,Not Applicable,Not Applicable
,"Freestone County, TX",48161,174,Not Applicable,Not Applicable
,"Frio County, TX",48163,105,Not Applicable,Not Applicable
,"Gaines County, TX",48165,99,Not Applicable,Not Applicable
,"Galveston County, TX",48167,1866,Not Applicable,Not Applicable
,"Garza County, TX",48169,41,Not Applicable,Not Applicable
