Notes,County,County Code,Deaths,Population,Crude Rate
,"Adair County, OK",40001,200,Not Applicable,Not Applicable
,"Alfalfa County, OK",40003,28,Not Applicable,Not Applicable
,"Atoka County, OK",40005,124,Not Applicable,Not Applicable
,"Beaver County, OK",40007,35,Not Applicable,Not Applicable
,"Beckham County, OK",40009,197,Not Applicable,Not Applicable
,"Blaine County, OK",40011,102,Not Applicable,Not Applicable
,"Bryan County, OK",40013,464,Not Applicable,Not Applicable
,"Caddo County, OK",40015,279,Not Applicable,Not Applicable
,"Canadian County, OK",40017,825,Not Applicable,Not Applicable
,"Carter County, OK",40019,522,Not Applicable,Not Applicable
,"Cherokee County, OK",40021,367,Not Applicable,Not Applicable
,"Choctaw County, OK",40023,179,Not Applicable,Not Applicable
,"Cimarron County, OK",40025,21,Not Applicable,Not Applicable
,"Cleveland County, OK",40027,1448,Not Applicable,Not Applicable
,"Coal County, OK",40029,57,Not Applicable,Not Applicable
,"Comanche County, OK",40031,842,Not Applicable,Not Applicable
,"Cotton County, OK",40033,63,Not Applicable,Not Applicable
,"Craig County, OK",40035,132,Not Applicable,Not Applicable
,"Creek County, OK",40037,633,Not Applicable,Not Applicable
,"Custer County, OK",40039,214,Not Applicable,Not Applicable
,"Delaware County, OK",40041,433,Not Applicable,Not Applicable
,"Dewey County, OK",40043,54,Not Applicable,Not Applicable
,"Ellis County, OK",40045,28,Not Applicable,Not Applicable
,"Garfield County, OK",40047,526,Not Applicable,Not Applicable
,"Garvin County, OK",40049,259,Not Applicable,Not Applicable
,"Grady County, OK",40051,427,Not Applicable,Not Applicable
,"Grant County, OK",40053,39,Not Applicable,Not Applicable
,"Greer County, OK",40055,65,Not Applicable,Not Applicable
,"Harmon County, OK",40057,33,Not Applicable,Not Applicable
,"Harper County, OK",40059,26,Not Applicable,Not Applicable
,"Haskell County, OK",40061,107,Not Applicable,Not Applicable
,"Hughes County, OK",40063,125,Not Applicable,Not Applicable
,"Jackson County, OK",40065,185,Not Applicable,Not Applicable
,"Jefferson County, OK",40067,59,Not Applicable,Not Applicable
,"Johnston County, OK",40069,108,Not Applicable,Not Applicable
,"Kay County, OK",40071,399,Not Applicable,Not Applicable
,"Kingfisher County, OK",40073,107,Not Applicable,Not Applicable
,"Kiowa County, OK",40075,95,Not Applicable,Not Applicable
,"Latimer County, OK",40077,88,Not Applicable,Not Applicable
,"Le Flore County, OK",40079,454,Not Applicable,Not Applicable
,"Lincoln County, OK",40081,279,Not Applicable,Not Applicable
,"Logan County, OK",40083,277,Not Applicable,Not Applicable
,"Love County, OK",40085,91,Not Applicable,Not Applicable
,"McClain County, OK",40087,249,Not Applicable,Not Applicable
,"McCurtain County, OK",40089,352,Not Applicable,Not Applicable
,"McIntosh County, OK",40091,248,Not Applicable,Not Applicable
,"Major County, OK",40093,72,Not Applicable,Not Applicable
,"Marshall County, OK",40095,155,Not Applicable,Not Applicable
,"Mayes County, OK",40097,381,Not Applicable,Not Applicable
,"Murray County, OK",40099,164,Not Applicable,Not Applicable
,"Muskogee County, OK",40101,747,Not Applicable,Not Applicable
,"Noble County, OK",40103,111,Not Applicable,Not Applicable
,"Nowata County, OK",40105,91,Not Applicable,Not Applicable
,"Okfuskee County, OK",40107,113,Not Applicable,Not Applicable
,"Oklahoma County, OK",40109,5363,Not Applicable,Not Applicable
,"Okmulgee County, OK",40111,386,Not Applicable,Not Applicable
,"Osage County, OK",40113,343,Not Applicable,Not Applicable
,"Ottawa County, OK",40115,338,Not Applicable,Not Applicable
,"Pawnee County, OK",40117,151,Not Applicable,Not Applicable
,"Payne County, OK",40119,429,Not Applicable,Not Applicable
,"Pittsburg County, OK",40121,461,Not Applicable,Not Applicable
,"Pontotoc County, OK",40123,344,Not Applicable,Not Applicable
,"Pottawatomie County, OK",40125,650,Not Applicable,Not Applicable
,"Pushmataha County, OK",40127,142,Not Applicable,Not Applicable
,"Roger Mills County, OK",40129,25,Not Applicable,Not Applicable
,"Rogers County, OK",40131,643,Not Applicable,Not Applicable
,"Seminole County, OK",40133,238,Not Applicable,Not Applicable
,"Sequoyah County, OK",40135,427,Not Applicable,Not Applicable
,"Stephens County, OK",40137,429,Not Applicable,Not Applicable
,"Texas County, OK",40139,94,Not Applicable,Not Applicable
,"Tillman County, OK",40141,65,Not Applicable,Not Applicable
,"Tulsa County, OK",40143,4905,Not Applicable,Not Applicable
,"Wagoner County, OK",40145,544,Not Applicable,Not Applicable
,"Washington County, OK",40147,495,Not Applicable,Not Applicable
,"Washita County, OK",40149,110,Not Applicable,Not Applicable
,"Woods County, OK",40151,69,Not Applicable,Not Applicable
