Notes,County,County Code,Deaths,Population,Crude Rate
,"Anderson County, TX",48001,409,Not Applicable,Not Applicable
,"Andrews County, TX",48003,89,Not Applicable,Not Applicable
,"Angelina County, TX",48005,655,Not Applicable,Not Applicable
,"Aransas County, TX",48007,192,Not Applicable,Not Applicable
,"Archer County, TX",48009,54,Not Applicable,Not Applicable
,"Armstrong County, TX",48011,20,Not Applicable,Not Applicable
,"Atascosa County, TX",48013,252,Not Applicable,Not Applicable
,"Austin County, TX",48015,168,Not Applicable,Not Applicable
,"Bailey County, TX",48017,33,Not Applicable,Not Applicable
,"Bandera County, TX",48019,135,Not Applicable,Not Applicable
,"Bastrop County, TX",48021,424,Not Applicable,Not Applicable
,"Baylor County, TX",48023,54,Not Applicable,Not Applicable
,"Bee County, TX",48025,188,Not Applicable,Not Applicable
,"Bell County, TX",48027,1438,Not Applicable,Not Applicable
,"Bexar County, TX",48029,7920,Not Applicable,Not Applicable
,"Blanco County, TX",48031,78,Not Applicable,Not Applicable
,"Borden County, TX",48033,Suppressed,Not Applicable,Not Applicable
,"Bosque County, TX",48035,161,Not Applicable,Not Applicable
,"Bowie County, TX",48037,692,Not Applicable,Not Applicable
,"Brazoria County, TX",48039,1409,Not Applicable,Not Applicable
,"Brazos County, TX",48041,696,Not Applicable,Not Applicable
,"Brewster County, TX",48043,44,Not Applicable,Not Applicable
,"Briscoe County, TX",48045,13,Not Applicable,Not Applicable
,"Brooks County, TX",48047,59,Not Applicable,Not Applicable
,"Brown County, TX",48049,302,Not Applicable,Not Applicable
,"Burleson County, TX",48051,143,Not Applicable,Not Applicable
,"Burnet County, TX",48053,301,Not Applicable,Not Applicable
,"Caldwell County, TX",48055,242,Not Applicable,Not Applicable
,"Calhoun County, TX",48057,134,Not Applicable,Not Applicable
,"Callahan County, TX",48059,110,Not Applicable,Not Applicable
,"Cameron County, TX",48061,1742,Not Applicable,Not Applicable
,"Camp County, TX",48063,100,Not Applicable,Not Applicable
,"Carson County, TX",48065,20,Not Applicable,Not Applicable
,"Cass County, TX",48067,228,Not Applicable,Not Applicable
,"Castro County, TX",48069,51,Not Applicable,Not Applicable
,"Chambers County, TX",48071,175,Not Applicable,Not Applicable
,"Cherokee County, TX",48073,372,Not Applicable,Not Applicable
,"Childress County, TX",48075,46,Not Applicable,Not Applicable
,"Clay County, TX",48077,82,Not Applicable,Not Applicable
,"Cochran County, TX",48079,15,Not Applicable,Not Applicable
,"Coke County, TX",48081,30,Not Applicable,Not Applicable
,"Coleman County, TX",48083,98,Not Applicable,Not Applicable
,"Collin County, TX",48085,3001,Not Applicable,Not Applicable
,"Collingsworth County, TX",48087,37,Not Applicable,Not Applicable
,"Colorado County, TX",48089,189,Not Applicable,Not Applicable
,"Comal County, TX",48091,827,Not Applicable,Not Applicable
,"Comanche County, TX",48093,112,Not Applicable,Not Applicable
,"Concho County, TX",48095,16,Not Applicable,Not Applicable
,"Cooke County, TX",48097,276,Not Applicable,Not Applicable
,"Coryell County, TX",48099,317,Not Applicable,Not Applicable
,"Cottle County, TX",48101,15,Not Applicable,Not Applicable
,"Crane County, TX",48103,30,Not Applicable,Not Applicable
,"Crockett County, TX",48105,27,Not Applicable,Not Applicable
,"Crosby County, TX",48107,55,Not Applicable,Not Applicable
,"Culberson County, TX",48109,13,Not Applicable,Not Applicable
,"Dallam County, TX",48111,23,Not Applicable,Not Applicable
,"Dallas County, TX",48113,10969,Not Applicable,Not Applicable
,"Dawson County, TX",48115,83,Not Applicable,Not Applicable
,"Deaf Smith County, TX",48117,94,Not Applicable,Not Applicable
,"Delta County, TX",48119,51,Not Applicable,Not Applicable
,"Denton County, TX",48121,2470,Not Applicable,Not Applicable
,"DeWitt County, TX",48123,196,Not Applicable,Not Applicable
,"Dickens County, TX",48125,18,Not Applicable,Not Applicable
,"Dimmit County, TX",48127,61,Not Applicable,Not Applicable
,"Donley County, TX",48129,23,Not Applicable,Not Applicable
,"Duval County, TX",48131,64,Not Applicable,Not Applicable
,"Eastland County, TX",48133,157,Not Applicable,Not Applicable
