Notes,County,County Code,Deaths,Population,Crude Rate
,"Anderson County, TX",48001,405,Not Applicable,Not Applicable
,"Andrews County, TX",48003,79,Not Applicable,Not Applicable
,"Angelina County, TX",48005,611,Not Applicable,Not Applicable
,"Aransas County, TX",48007,168,Not Applicable,Not Applicable
,"Archer County, TX",48009,66,Not Applicable,Not Applicable
,"Armstrong County, TX",48011,16,Not Applicable,Not Applicable
,"Atascosa County, TX",48013,254,Not Applicable,Not Applicable
,"Austin County, TX",48015,174,Not Applicable,Not Applicable
,"Bailey County, TX",48017,40,Not Applicable,Not Applicable
,"Bandera County, TX",48019,140,Not Applicable,Not Applicable
,"Bastrop County, TX",48021,379,Not Applicable,Not Applicable
,"Baylor County, TX",48023,52,Not Applicable,Not Applicable
,"Bee County, TX",48025,160,Not Applicable,Not Applicable
,"Bell County, TX",48027,1538,Not Applicable,Not Applicable
,"Bexar County, TX",48029,7473,Not Applicable,Not Applicable
,"Blanco County, TX",48031,51,Not Applicable,Not Applicable
,"Borden County, TX",48033,Suppressed,Not Applicable,Not Applicable
,"Bosque County, TX",48035,179,Not Applicable,Not Applicable
,"Bowie County, TX",48037,658,Not Applicable,Not Applicable
,"Brazoria County, TX",48039,1425,Not Applicable,Not Applicable
,"Brazos County, TX",48041,690,Not Applicable,Not Applicable
,"Brewster County, TX",48043,56,Not Applicable,Not Applicable
,"Briscoe County, TX",48045,12,Not Applicable,Not Applicable
,"Brooks County, TX",48047,55,Not Applicable,Not Applicable
,"Brown County, TX",48049,378,Not Applicable,Not Applicable
,"Burleson County, TX",48051,138,Not Applicable,Not Applicable
,"Burnet County, TX",48053,309,Not Applicable,Not Applicable
,"Caldwell County, TX",48055,245,Not Applicable,Not Applicable
,"Calhoun County, TX",48057,142,Not Applicable,Not Applicable
,"Callahan County, TX",48059,103,Not Applicable,Not Applicable
,"Cameron County, TX",48061,1693,Not Applicable,Not Applicable
,"Camp County, TX",48063,86,Not Applicable,Not Applicable
,"Carson County, TX",48065,25,Not Applicable,Not Applicable
,"Cass County, TX",48067,242,Not Applicable,Not Applicable
,"Castro County, TX",48069,39,Not Applicable,Not Applicable
,"Chambers County, TX",48071,169,Not Applicable,Not Applicable
,"Cherokee County, TX",48073,333,Not Applicable,Not Applicable
,"Childress County, TX",48075,69,Not Applicable,Not Applicable
,"Clay County, TX",48077,93,Not Applicable,Not Applicable
,"Cochran County, TX",48079,19,Not Applicable,Not Applicable
,"Coke County, TX",48081,30,Not Applicable,Not Applicable
,"Coleman County, TX",48083,108,Not Applicable,Not Applicable
,"Collin County, TX",48085,3002,Not Applicable,Not Applicable
,"Collingsworth County, TX",48087,27,Not Applicable,Not Applicable
,"Colorado County, TX",48089,191,Not Applicable,Not Applicable
