Notes,County,County Code,Deaths,Population,Crude Rate
,"Adair County, OK",40001,149,Not Applicable,Not Applicable
,"Alfalfa County, OK",40003,53,Not Applicable,Not Applicable
,"Atoka County, OK",40005,120,Not Applicable,Not Applicable
,"Beaver County, OK",40007,41,Not Applicable,Not Applicable
,"Beckham County, OK",40009,204,Not Applicable,Not Applicable
,"Blaine County, OK",40011,102,Not Applicable,Not Applicable
,"Bryan County, OK",40013,395,Not Applicable,Not Applicable
,"Caddo County, OK",40015,285,Not Applicable,Not Applicable
,"Canadian County, OK",40017,776,Not Applicable,Not Applicable
,"Carter County, OK",40019,398,Not Applicable,Not Applicable
,"Cherokee County, OK",40021,344,Not Applicable,Not Applicable
,"Choctaw County, OK",40023,153,Not Applicable,Not Applicable
,"Cimarron County, OK",40025,13,Not Applicable,Not Applicable
,"Cleveland County, OK",40027,1465,Not Applicable,Not Applicable
,"Coal County, OK",40029,58,Not Applicable,Not Applicable
,"Comanche County, OK",40031,685,Not Applicable,Not Applicable
,"Cotton County, OK",40033,63,Not Applicable,Not Applicable
,"Craig County, OK",40035,126,Not Applicable,Not Applicable
,"Creek County, OK",40037,541,Not Applicable,Not Applicable
,"Custer County, OK",40039,282,Not Applicable,Not Applicable
,"Delaware County, OK",40041,407,Not Applicable,Not Applicable
,"Dewey County, OK",40043,44,Not Applicable,Not Applicable
,"Ellis County, OK",40045,35,Not Applicable,Not Applicable
,"Garfield County, OK",40047,557,Not Applicable,Not Applicable
,"Garvin County, OK",40049,233,Not Applicable,Not Applicable
,"Grady County, OK",40051,400,Not Applicable,Not Applicable
,"Grant County, OK",40053,50,Not Applicable,Not Applicable
,"Greer County, OK",40055,61,Not Applicable,Not Applicable
,"Harmon County, OK",40057,33,Not Applicable,Not Applicable
,"Harper County, OK",40059,35,Not Applicable,Not Applicable
,"Haskell County, OK",40061,93,Not Applicable,Not Applicable
,"Hughes County, OK",40063,124,Not Applicable,Not Applicable
,"Jackson County, OK",40065,210,Not Applicable,Not Applicable
,"Jefferson County, OK",40067,54,Not Applicable,Not Applicable
,"Johnston County, OK",40069,74,Not Applicable,Not Applicable
,"Kay County, OK",40071,451,Not Applicable,Not Applicable
,"Kingfisher County, OK",40073,124,Not Applicable,Not Applicable
,"Kiowa County, OK",40075,129,Not Applicable,Not Applicable
,"Latimer County, OK",40077,57,Not Applicable,Not Applicable
,"Le Flore County, OK",40079,440,Not Applicable,Not Applicable
,"Lincoln County, OK",40081,263,Not Applicable,Not Applicable
,"Logan County, OK",40083,258,Not Applicable,Not Applicable
,"Love County, OK",40085,88,Not Applicable,Not Applicable
,"McClain County, OK",40087,256,Not Applicable,Not Applicable
,"McCurtain County, OK",40089,307,Not Applicable,Not Applicable
,"McIntosh County, OK",40091,197,Not Applicable,Not Applicable
,"Major County, OK",40093,85,Not Applicable,Not Applicable
,"Marshall County, OK",40095,155,Not Applicable,Not Applicable
,"Mayes County, OK",40097,283,Not Applicable,Not Applicable
,"Murray County, OK",40099,146,Not Applicable,Not Applicable
,"Muskogee County, OK",40101,727,Not Applicable,Not Applicable
,"Noble County, OK",40103,99,Not Applicable,Not Applicable
,"Nowata County, OK",40105,79,Not Applicable,Not Applicable
,"Okfuskee County, OK",40107,127,Not Applicable,Not Applicable
,"Oklahoma County, OK",40109,5433,Not Applicable,Not Applicable
,"Okmulgee County, OK",40111,347,Not Applicable,Not Applicable
,"Osage County, OK",40113,282,Not Applicable,Not Applicable
,"Ottawa County, OK",40115,273,Not Applicable,Not Applicable
,"Pawnee County, OK",40117,149,Not Applicable,Not Applicable
,"Payne County, OK",40119,392,Not Applicable,Not Applicable
,"Pittsburg County, OK",40121,358,Not Applicable,Not Applicable
,"Pontotoc County, OK",40123,272,Not Applicable,Not Applicable
,"Pottawatomie County, OK",40125,569,Not Applicable,Not Applicable
,"Pushmataha County, OK",40127,113,Not Applicable,Not Applicable
,"Roger Mills County, OK",40129,37,Not Applicable,Not Applicable
,"Rogers County, OK",40131,625,Not Applicable,Not Applicable
,"Seminole County, OK",40133,238,Not Applicable,Not Applicable
,"Sequoyah County, OK",40135,393,Not Applicable,Not Applicable
,"Stephens County, OK",40137,394,Not Applicable,Not Applicable
,"Texas County, OK",40139,131,Not Applicable,Not Applicable
,"Tillman County, OK",40141,71,Not Applicable,Not Applicable
,"Tulsa County, OK",40143,4418,Not Applicable,Not Applicable
,"Wagoner County, OK",40145,428,Not Applicable,Not Applicable
,"Washington County, OK",40147,445,Not Applicable,Not Applicable
,"Washita County, OK",40149,113,Not Applicable,Not Applicable
,"Woods County, OK",40151,74,Not Applicable,Not Applicable
,"Woodward County, OK",40153,167,Not Applicable,Not Applicable
Total,,,28656,Not Applicable,Not Applicable
---,,,,,
"Dataset: Underlying Cause of Death, 2018-2021, Single Race",,,,,
Query Parameters:,,,,,
Place of Death: Medical Facility - Inpatient; Medical Facility - Outpatient or ER; Medical Facility - Dead on Arrival; Medical,,,,,
Facility - Status unknown; Hospice facility; Nursing home/long term care,,,,,
States: Oklahoma (40),,,,,
Year/Month: 2020,,,,,
Group By: County,,,,,
Show Totals: True,,,,,
Show Zero Values: True,,,,,
